a	model	nth	tp_pooled
0.9	sym_max	5	14346
0.925	sym_max	5	12741
0.95	sym_max	5	11148
0.975	sym_max	5	9641
1.0	sym_max	5	8285
1.1	sym_max	5	3679
1.2	sym_max	5	1412
1.3	sym_max	5	452
1.4	sym_max	5	93
1.5	sym_max	5	8
0.0	sym_max	6	4788
0.1	sym_max	6	5194
0.2	sym_max	6	5837
0.3	sym_max	6	6560
0.4	sym_max	6	7645
0.5	sym_max	6	9195
0.525	sym_max	6	9639
0.55	sym_max	6	10113
0.575	sym_max	6	10616
0.6	sym_max	6	11170
0.625	sym_max	6	11779
0.65	sym_max	6	12436
0.675	sym_max	6	13095
0.7	sym_max	6	13891
0.725	sym_max	6	14546
0.75	sym_max	6	15216
0.775	sym_max	6	15510
0.8	sym_max	6	15759
0.825	sym_max	6	16107
0.85	sym_max	6	16096
0.875	sym_max	6	15214
0.9	sym_max	6	14549
0.925	sym_max	6	13144
0.95	sym_max	6	11472
0.975	sym_max	6	9877
1.0	sym_max	6	8416
1.1	sym_max	6	3893
1.2	sym_max	6	1435
1.3	sym_max	6	455
1.4	sym_max	6	100
1.5	sym_max	6	11
0.0	sym_mean	1	3844
0.1	sym_mean	1	4299
0.2	sym_mean	1	4898
0.3	sym_mean	1	5732
0.4	sym_mean	1	6567
0.5	sym_mean	1	7857
0.525	sym_mean	1	8245
0.55	sym_mean	1	8635
0.575	sym_mean	1	9059
0.6	sym_mean	1	9505
0.625	sym_mean	1	9999
0.65	sym_mean	1	10084
0.675	sym_mean	1	9117
0.7	sym_mean	1	8240
0.725	sym_mean	1	7444
0.75	sym_mean	1	6627
0.775	sym_mean	1	5915
0.8	sym_mean	1	5274
0.825	sym_mean	1	4671
0.85	sym_mean	1	4105
0.875	sym_mean	1	3580
0.9	sym_mean	1	3077
0.925	sym_mean	1	2631
0.95	sym_mean	1	2259
0.975	sym_mean	1	1916
1.0	sym_mean	1	1592
1.1	sym_mean	1	665
1.2	sym_mean	1	253
1.3	sym_mean	1	109
1.4	sym_mean	1	18
1.5	sym_mean	1	0
0.0	sym_mean	2	3975
0.1	sym_mean	2	4458
0.2	sym_mean	2	5084
0.3	sym_mean	2	5834
0.4	sym_mean	2	7094
0.5	sym_mean	2	8469
0.525	sym_mean	2	8883
0.55	sym_mean	2	9313
0.575	sym_mean	2	9784
0.6	sym_mean	2	10278
0.625	sym_mean	2	10813
0.65	sym_mean	2	10517
0.675	sym_mean	2	11073
0.7	sym_mean	2	11659
0.725	sym_mean	2	12276
0.75	sym_mean	2	12958
0.775	sym_mean	2	12384
0.8	sym_mean	2	11375
0.825	sym_mean	2	10334
0.85	sym_mean	2	9400
0.875	sym_mean	2	8585
0.9	sym_mean	2	7752
0.925	sym_mean	2	6965
0.95	sym_mean	2	6290
0.975	sym_mean	2	5619
1.0	sym_mean	2	4981
1.1	sym_mean	2	2941
1.2	sym_mean	2	1162
1.3	sym_mean	2	239
1.4	sym_mean	2	30
1.5	sym_mean	2	2
0.0	sym_mean	3	4724
0.1	sym_mean	3	4931
0.2	sym_mean	3	5190
0.3	sym_mean	3	6105
0.4	sym_mean	3	7325
0.5	sym_mean	3	8856
0.525	sym_mean	3	9303
0.55	sym_mean	3	9746
0.575	sym_mean	3	10224
0.6	sym_mean	3	10717
0.625	sym_mean	3	11118
0.65	sym_mean	3	11376
0.675	sym_mean	3	12006
0.7	sym_mean	3	12655
0.725	sym_mean	3	13365
0.75	sym_mean	3	13539
0.775	sym_mean	3	13615
0.8	sym_mean	3	14342
0.825	sym_mean	3	15088
0.85	sym_mean	3	15348
0.875	sym_mean	3	13583
0.9	sym_mean	3	11988
0.925	sym_mean	3	10504
0.95	sym_mean	3	9163
0.975	sym_mean	3	7892
1.0	sym_mean	3	6753
1.1	sym_mean	3	3194
1.2	sym_mean	3	1203
1.3	sym_mean	3	280
1.4	sym_mean	3	48
1.5	sym_mean	3	5
0.0	sym_mean	4	4729
0.1	sym_mean	4	5082
0.2	sym_mean	4	5520
0.3	sym_mean	4	6145
0.4	sym_mean	4	7443
0.5	sym_mean	4	9171
0.525	sym_mean	4	9599
0.55	sym_mean	4	10084
0.575	sym_mean	4	10577
0.6	sym_mean	4	11144
0.625	sym_mean	4	11286
0.65	sym_mean	4	11861
0.675	sym_mean	4	12507
0.7	sym_mean	4	13164
0.725	sym_mean	4	13858
0.75	sym_mean	4	14056
0.775	sym_mean	4	14777
0.8	sym_mean	4	15542
0.825	sym_mean	4	16442
0.85	sym_mean	4	15898
0.875	sym_mean	4	15241
0.9	sym_mean	4	13419
0.925	sym_mean	4	11789
0.95	sym_mean	4	10286
0.975	sym_mean	4	8906
1.0	sym_mean	4	7607
1.1	sym_mean	4	3580
1.2	sym_mean	4	1301
1.3	sym_mean	4	450
1.4	sym_mean	4	86
1.5	sym_mean	4	6
0.0	sym_mean	5	4738
0.1	sym_mean	5	5160
0.2	sym_mean	5	5553
0.3	sym_mean	5	6386
0.4	sym_mean	5	7637
0.5	sym_mean	5	9377
0.525	sym_mean	5	9828
0.55	sym_mean	5	10302
0.575	sym_mean	5	10820
0.6	sym_mean	5	11382
0.625	sym_mean	5	11693
0.65	sym_mean	5	12346
0.675	sym_mean	5	13003
0.7	sym_mean	5	13706
0.725	sym_mean	5	14390
0.75	sym_mean	5	14546
0.775	sym_mean	5	15274
0.8	sym_mean	5	16084
0.825	sym_mean	5	16715
0.85	sym_mean	5	16554
0.875	sym_mean	5	15273
0.9	sym_mean	5	13432
0.925	sym_mean	5	11819
0.95	sym_mean	5	10304
0.975	sym_mean	5	8923
1.0	sym_mean	5	7617
1.1	sym_mean	5	3591
1.2	sym_mean	5	1429
1.3	sym_mean	5	474
1.4	sym_mean	5	89
1.5	sym_mean	5	12
0.0	sym_mean	6	4833
0.1	sym_mean	6	5199
0.2	sym_mean	6	5788
0.3	sym_mean	6	6441
0.4	sym_mean	6	7686
0.5	sym_mean	6	9383
0.525	sym_mean	6	9870
0.55	sym_mean	6	10398
0.575	sym_mean	6	10992
0.6	sym_mean	6	11610
